Discord,Team,Individual,Individual?,% Calculator,Rank
,Chicago Empyre,66.06%,FALSE,#REF!,#REF!
,,66.04%,TRUE,66.04%,Challenger
,,66.03%,TRUE,66.03%,Challenger
,,66.01%,TRUE,66.01%,Challenger
,Aspyre,66.00%,FALSE,#REF!,#REF!
,,65.98%,TRUE,65.98%,Challenger
,Team Revenge,65.97%,FALSE,#REF!,#REF!
,Van Lyn,65.94%,FALSE,#REF!,#REF!
,,65.93%,TRUE,65.93%,Challenger
,,65.92%,TRUE,65.92%,Challenger
,,65.88%,TRUE,65.88%,Challenger
,,65.86%,TRUE,65.86%,Challenger
,,65.86%,TRUE,65.86%,Challenger
,WTP,65.85%,FALSE,#REF!,#REF!
,,65.85%,TRUE,65.85%,Challenger
,,65.83%,TRUE,65.83%,Challenger
,,65.83%,TRUE,65.83%,Challenger
,,65.82%,TRUE,65.82%,Challenger
,,65.81%,TRUE,65.81%,Challenger
,,65.80%,TRUE,65.80%,Challenger
,Agoge Gaming,65.79%,FALSE,#REF!,#REF!
,Team Mystic Black,65.79%,FALSE,#REF!,#REF!
,,65.78%,TRUE,65.78%,Challenger
,,65.76%,TRUE,65.76%,Challenger
,CrouchShoot,65.74%,FALSE,#REF!,#REF!
,Realism Esports Blue,65.73%,FALSE,#REF!,#REF!
,,65.72%,TRUE,65.72%,Challenger
,Maidenless,65.70%,FALSE,#REF!,#REF!
,,65.69%,TRUE,65.69%,Challenger
,Team Major Academy,65.68%,FALSE,#REF!,#REF!
,,65.64%,TRUE,65.64%,Challenger
,Area of Effect,65.61%,FALSE,#REF!,#REF!
,Misfits Black,65.61%,FALSE,#REF!,#REF!
,,65.60%,TRUE,65.60%,Challenger
,Team Reckaroo,65.53%,FALSE,#REF!,#REF!
,,65.53%,TRUE,65.53%,Challenger
,,65.53%,TRUE,65.53%,Challenger
,,65.53%,TRUE,65.53%,Challenger
,,65.52%,TRUE,65.52%,Challenger
,,65.52%,TRUE,65.52%,Challenger
,,65.46%,TRUE,65.46%,Challenger
,,65.45%,TRUE,65.45%,Challenger
,,65.43%,TRUE,65.43%,Challenger
,,65.42%,TRUE,65.42%,Challenger
,,65.42%,TRUE,65.42%,Challenger
,,65.40%,TRUE,65.40%,Challenger
,,65.34%,TRUE,65.34%,Challenger
,,65.34%,TRUE,65.34%,Challenger
,,65.33%,TRUE,65.33%,Challenger
,Fluid Gaming,65.33%,FALSE,#REF!,#REF!
,,65.31%,TRUE,65.31%,Challenger
,,65.30%,TRUE,65.30%,Challenger
,,65.29%,TRUE,65.29%,Challenger
,,65.24%,TRUE,65.24%,Challenger
,,65.21%,TRUE,65.21%,Challenger
,,65.18%,TRUE,65.18%,Challenger
,,65.18%,TRUE,65.18%,Challenger
,WTP,65.17%,FALSE,#REF!,#REF!
,Spaghetti,65.15%,FALSE,#REF!,#REF!
,,65.14%,TRUE,65.14%,Challenger
,,65.13%,TRUE,65.13%,Challenger
,Ignite Beyond,65.08%,FALSE,#REF!,#REF!
,,65.08%,TRUE,65.08%,Challenger
,,65.07%,TRUE,65.07%,Challenger
,,65.05%,TRUE,65.05%,Challenger
,Aspyre,65.03%,FALSE,#REF!,#REF!
,Complexity GX3,65.01%,FALSE,#REF!,#REF!
,,64.98%,TRUE,64.98%,Challenger
,,64.98%,TRUE,64.98%,Challenger
,,64.94%,TRUE,64.94%,Challenger
,,64.93%,TRUE,64.93%,Challenger
,Xanity,64.92%,FALSE,#REF!,#REF!
,,64.91%,TRUE,64.91%,Challenger
,,64.89%,TRUE,64.89%,Challenger
,,64.87%,TRUE,64.87%,Challenger
,,64.87%,TRUE,64.87%,Challenger
,Project (arc),64.86%,FALSE,#REF!,#REF!
,,64.85%,TRUE,64.85%,Challenger
,,64.85%,TRUE,64.85%,Challenger
,,64.79%,TRUE,64.79%,Challenger
,Realism Esports Blue,64.79%,FALSE,#REF!,#REF!
,,64.78%,TRUE,64.78%,Challenger
,,64.73%,TRUE,64.73%,Challenger
,,64.72%,TRUE,64.72%,Challenger
,,64.70%,TRUE,64.70%,Challenger
,,64.69%,TRUE,64.69%,Challenger
,,64.69%,TRUE,64.69%,Challenger
,,64.67%,TRUE,64.67%,Challenger
,,64.66%,TRUE,64.66%,Challenger
,,64.65%,TRUE,64.65%,Challenger
,,64.61%,TRUE,64.61%,Challenger
,Mach5,64.59%,FALSE,#REF!,#REF!
,Area of Effect,64.55%,FALSE,#REF!,#REF!
,,64.55%,TRUE,64.55%,Challenger
,GodSpeed Black,64.54%,FALSE,#REF!,#REF!
,Exolved ,64.48%,FALSE,#REF!,#REF!
,,64.47%,TRUE,64.47%,Challenger
,,64.46%,TRUE,64.46%,Challenger
,DMG,64.43%,FALSE,#REF!,#REF!
,Astéri 7,64.40%,FALSE,#REF!,#REF!
,,64.40%,TRUE,64.40%,Challenger
,GodSpeed Black,64.37%,FALSE,#REF!,#REF!
,YFP White,64.35%,FALSE,#REF!,#REF!
,,64.31%,TRUE,64.31%,Challenger
,,64.28%,TRUE,64.28%,Challenger
,,64.25%,TRUE,64.25%,Challenger
,Valkyrie,64.25%,FALSE,#REF!,#REF!
,,64.12%,TRUE,64.12%,Challenger
,,64.09%,TRUE,64.09%,Challenger
,,64.08%,TRUE,64.08%,Challenger
,Mystic Venus,64.07%,FALSE,#REF!,#REF!
,Unpopular,64.06%,FALSE,#REF!,#REF!
,,64.02%,TRUE,64.02%,Challenger
,,64.00%,TRUE,64.00%,Challenger
,,63.84%,TRUE,63.84%,Challenger
,Team Fish Taco,63.81%,FALSE,#REF!,#REF!
,,63.81%,TRUE,63.81%,Challenger
,DMG,63.79%,FALSE,#REF!,#REF!
,,63.79%,TRUE,63.79%,Challenger
,Solaire,63.78%,FALSE,#REF!,#REF!
,,63.74%,TRUE,63.74%,Challenger
,Misfits Black,63.74%,FALSE,#REF!,#REF!
,,63.73%,TRUE,63.73%,Challenger
,,63.71%,TRUE,63.71%,Challenger
,Team Mystic Black,63.70%,FALSE,#REF!,#REF!
,,63.67%,TRUE,63.67%,Challenger
,,63.65%,TRUE,63.65%,Challenger
,Area of Effect,63.64%,FALSE,#REF!,#REF!
,Ugly Hamsters,63.62%,FALSE,#REF!,#REF!
,Team Digital,63.60%,FALSE,#REF!,#REF!
,Agoge Gaming,63.59%,FALSE,#REF!,#REF!
,,63.56%,TRUE,63.56%,Challenger
,Solaire,63.55%,FALSE,#REF!,#REF!
,,63.51%,TRUE,63.51%,Challenger
,WTP,63.49%,FALSE,#REF!,#REF!
,Mystic Venus,63.49%,FALSE,#REF!,#REF!
,,63.42%,TRUE,63.42%,Challenger
,,63.38%,TRUE,63.38%,Challenger
,,63.38%,TRUE,63.38%,Challenger
,,63.36%,TRUE,63.36%,Challenger
,Project (Yoon),63.35%,FALSE,#REF!,#REF!
,,63.34%,TRUE,63.34%,Challenger
,,63.33%,TRUE,63.33%,Challenger
,,63.32%,TRUE,63.32%,Challenger
,,63.32%,TRUE,63.32%,Challenger
,Fluid Gaming,63.20%,FALSE,#REF!,#REF!
,,63.19%,TRUE,63.19%,Challenger
,Berzerkers,63.16%,FALSE,#REF!,#REF!
,,63.11%,TRUE,63.11%,Challenger
,,63.09%,TRUE,63.09%,Challenger
,,63.08%,TRUE,63.08%,Challenger
,Final Form,63.00%,FALSE,#REF!,#REF!
,Scooby Doo Gang,62.99%,FALSE,#REF!,#REF!
,,62.99%,TRUE,62.99%,Challenger
,Crownless,62.90%,FALSE,#REF!,#REF!
,Worst Generation,62.88%,FALSE,#REF!,#REF!
,,62.88%,TRUE,62.88%,Challenger
,,62.85%,TRUE,62.85%,Challenger
,MCT Esports,62.80%,FALSE,#REF!,#REF!
,QoR,62.79%,FALSE,#REF!,#REF!
,UW Valorant Gold,62.76%,FALSE,#REF!,#REF!
,,62.75%,TRUE,62.75%,Challenger
,,62.72%,TRUE,62.72%,Challenger
,,62.70%,TRUE,62.70%,Challenger
,,62.69%,TRUE,62.69%,Challenger
,,62.69%,TRUE,62.69%,Challenger
,,62.63%,TRUE,62.63%,Challenger
,,62.60%,TRUE,62.60%,Challenger
,NIX,62.54%,FALSE,#REF!,#REF!
,3VN,62.53%,FALSE,#REF!,#REF!
,,62.46%,TRUE,62.46%,Challenger
,Team Kraken,62.45%,FALSE,#REF!,#REF!
,,62.44%,TRUE,62.44%,Challenger
,,62.40%,TRUE,62.40%,Challenger
,OPERATION STRIX,62.40%,FALSE,#REF!,#REF!
,,62.39%,TRUE,62.39%,Challenger
,,62.39%,TRUE,62.39%,Challenger
,,62.37%,TRUE,62.37%,Challenger
,,62.37%,TRUE,62.37%,Challenger
,,62.24%,TRUE,62.24%,Challenger
,,62.23%,TRUE,62.23%,Challenger
,,62.22%,TRUE,62.22%,Challenger
,,62.21%,TRUE,62.21%,Challenger
,,62.21%,TRUE,62.21%,Challenger
,Esperion FC,62.18%,FALSE,#REF!,#REF!
,,62.18%,TRUE,62.18%,Challenger
,,62.14%,TRUE,62.14%,Challenger
,,62.13%,TRUE,62.13%,Challenger
,,62.11%,TRUE,62.11%,Challenger
,,62.10%,TRUE,62.10%,Challenger
,ZMM White,62.09%,FALSE,#REF!,#REF!
,,62.06%,TRUE,62.06%,Challenger
,,62.05%,TRUE,62.05%,Challenger
,,62.04%,TRUE,62.04%,Challenger
,,61.99%,TRUE,61.99%,Challenger
,Team Mystic Black,61.95%,FALSE,#REF!,#REF!
,,61.95%,TRUE,61.95%,Challenger
,,61.94%,TRUE,61.94%,Challenger
,I miss her,61.88%,FALSE,#REF!,#REF!
,,61.87%,TRUE,61.87%,Challenger
,,61.79%,TRUE,61.79%,Challenger
,Mach5,61.78%,FALSE,#REF!,#REF!
,,61.78%,TRUE,61.78%,Challenger
,,61.76%,TRUE,61.76%,Challenger
,,61.76%,TRUE,61.76%,Challenger
,,61.75%,TRUE,61.75%,Challenger
,Unpopular,61.69%,FALSE,#REF!,#REF!
,,61.67%,TRUE,61.67%,Challenger
,DMG,61.66%,FALSE,#REF!,#REF!
,Nightblood Gaming,61.62%,FALSE,#REF!,#REF!
,,61.59%,TRUE,61.59%,Challenger
,,61.58%,TRUE,61.58%,Challenger
,,61.48%,TRUE,61.48%,Challenger
,,61.47%,TRUE,61.47%,Challenger
,,61.37%,TRUE,61.37%,Challenger
,,61.34%,TRUE,61.34%,Challenger
,,61.27%,TRUE,61.27%,Challenger
,Asian And Co (ACO),61.23%,FALSE,#REF!,#REF!
,,61.22%,TRUE,61.22%,Challenger
,,61.19%,TRUE,61.19%,Challenger
,,61.18%,TRUE,61.18%,Challenger
,,61.16%,TRUE,61.16%,Challenger
,,61.15%,TRUE,61.15%,Challenger
,afterMath Esports,61.14%,FALSE,#REF!,#REF!
,,61.13%,TRUE,61.13%,Challenger
,,61.12%,TRUE,61.12%,Challenger
,,61.09%,TRUE,61.09%,Challenger
,Fluid Gaming,61.05%,FALSE,#REF!,#REF!
,,61.02%,TRUE,61.02%,Challenger
,,61.01%,TRUE,61.01%,Challenger
,,60.98%,TRUE,60.98%,Challenger
,,60.92%,TRUE,60.92%,Challenger
,Maidenless,60.86%,FALSE,#REF!,#REF!
,Last Resistance,60.71%,FALSE,#REF!,#REF!
,,60.71%,TRUE,60.71%,Challenger
,,60.70%,TRUE,60.70%,Challenger
,,60.68%,TRUE,60.68%,Challenger
,,60.67%,TRUE,60.67%,Challenger
,,60.57%,TRUE,60.57%,Challenger
,Ariana Grande Perfume,60.53%,FALSE,#REF!,#REF!
,,60.52%,TRUE,60.52%,Challenger
,Legion,60.50%,FALSE,#REF!,#REF!
,,60.45%,TRUE,60.45%,Challenger
,,60.45%,TRUE,60.45%,Challenger
,,60.40%,TRUE,60.40%,Challenger
,,60.37%,TRUE,60.37%,Challenger
,,60.30%,TRUE,60.30%,Challenger
,,60.27%,TRUE,60.27%,Challenger
,,60.25%,TRUE,60.25%,Challenger
,,60.23%,TRUE,60.23%,Challenger
,,60.23%,TRUE,60.23%,Challenger
,,60.22%,TRUE,60.22%,Challenger
,,60.20%,TRUE,60.20%,Challenger
,Manic Project,60.14%,FALSE,#REF!,#REF!
,,60.12%,TRUE,60.12%,Challenger
,,60.10%,TRUE,60.10%,Challenger
,,60.02%,TRUE,60.02%,Challenger
,,60.01%,TRUE,60.01%,Challenger
,,59.97%,TRUE,59.97%,Challenger
,,59.96%,TRUE,59.96%,Challenger
,,59.95%,TRUE,59.95%,Challenger
,,59.92%,TRUE,59.92%,Challenger
,,59.85%,TRUE,59.85%,Challenger
,NMG Celeste,59.84%,FALSE,#REF!,#REF!
,I miss her,59.71%,FALSE,#REF!,#REF!
,Misfits Black,59.71%,FALSE,#REF!,#REF!
,XSET Purple,59.62%,FALSE,#REF!,#REF!
,,59.58%,TRUE,59.58%,Challenger
,,59.55%,TRUE,59.55%,Challenger
,,59.54%,TRUE,59.54%,Challenger
,,59.52%,TRUE,59.52%,Challenger
,,59.50%,TRUE,59.50%,Challenger
,,59.40%,TRUE,59.40%,Challenger
,,59.39%,TRUE,59.39%,Challenger
,,59.38%,TRUE,59.38%,Challenger
,,59.30%,TRUE,59.30%,Challenger
,Overkill,59.25%,FALSE,#REF!,#REF!
,,59.24%,TRUE,59.24%,Challenger
,,59.20%,TRUE,59.20%,Challenger
,,59.10%,TRUE,59.10%,Challenger
,,59.10%,TRUE,59.10%,Challenger
,Realism Esports Black,59.07%,FALSE,#REF!,#REF!
,,59.01%,TRUE,59.01%,Challenger
,,58.99%,TRUE,58.99%,Challenger
,,58.94%,TRUE,58.94%,Challenger
,,58.85%,TRUE,58.85%,Challenger
,Team Immoral,58.85%,FALSE,#REF!,#REF!
,,58.83%,TRUE,58.83%,Challenger
,,58.78%,TRUE,58.78%,Challenger
,Tactical Throwers,58.72%,FALSE,#REF!,#REF!
,Immortals,58.71%,FALSE,#REF!,#REF!
,NMG Celeste,58.71%,FALSE,#REF!,#REF!
,,58.69%,TRUE,58.69%,Challenger
,,58.69%,TRUE,58.69%,Challenger
,,58.65%,TRUE,58.65%,Challenger
,,58.58%,TRUE,58.58%,Challenger
,,58.54%,TRUE,58.54%,Challenger
,,58.53%,TRUE,58.53%,Challenger
,,58.50%,TRUE,58.50%,Challenger
,,58.44%,TRUE,58.44%,Challenger
,BabyJ Esports,58.37%,FALSE,#REF!,#REF!
,University of Mississippi ,58.32%,FALSE,#REF!,#REF!
,,58.31%,TRUE,58.31%,Challenger
,VersionX,58.29%,FALSE,#REF!,#REF!
,Realism Esports Black,58.29%,FALSE,#REF!,#REF!
,,58.28%,TRUE,58.28%,Challenger
,,58.25%,TRUE,58.25%,Challenger
,Cat Company,58.23%,FALSE,#REF!,#REF!
,,58.22%,TRUE,58.22%,Challenger
,,58.22%,TRUE,58.22%,Challenger
,,58.21%,TRUE,58.21%,Challenger
,Crownless,58.19%,FALSE,#REF!,#REF!
,,58.18%,TRUE,58.18%,Challenger
,,58.16%,TRUE,58.16%,Challenger
,,58.16%,TRUE,58.16%,Challenger
,,58.14%,TRUE,58.14%,Challenger
,NMG Celeste,58.09%,FALSE,#REF!,#REF!
,,58.08%,TRUE,58.08%,Challenger
,,58.08%,TRUE,58.08%,Challenger
,,58.08%,TRUE,58.08%,Challenger
,,57.92%,TRUE,57.92%,Challenger
,,57.90%,TRUE,57.90%,Challenger
,,57.87%,TRUE,57.87%,Challenger
,,57.87%,TRUE,57.87%,Challenger
,,57.83%,TRUE,57.83%,Challenger
,HorizonGG,57.80%,FALSE,#REF!,#REF!
,Ryze Gaming,57.77%,FALSE,#REF!,#REF!
,,57.74%,TRUE,57.74%,Challenger
,BHAAD,57.73%,FALSE,#REF!,#REF!
,,57.68%,TRUE,57.68%,Challenger
,,57.67%,TRUE,57.67%,Challenger
,,57.66%,TRUE,57.66%,Challenger
,,57.65%,TRUE,57.65%,Challenger
,,57.65%,TRUE,57.65%,Challenger
,,57.62%,TRUE,57.62%,Challenger
,Realism Esports Black,57.61%,FALSE,#REF!,#REF!
,,57.54%,TRUE,57.54%,Challenger
,,57.54%,TRUE,57.54%,Challenger
,,57.48%,TRUE,57.48%,Challenger
,,57.43%,TRUE,57.43%,Challenger
,,57.42%,TRUE,57.42%,Challenger
,,57.41%,TRUE,57.41%,Challenger
,NMG Celeste,57.40%,FALSE,#REF!,#REF!
,Mystic Venus,57.36%,FALSE,#REF!,#REF!
,WannaBees,57.34%,FALSE,#REF!,#REF!
,,57.34%,TRUE,57.34%,Challenger
,Ignite Beyond,57.33%,FALSE,#REF!,#REF!
,,57.33%,TRUE,57.33%,Challenger
,,57.32%,TRUE,57.32%,Challenger
,,57.32%,TRUE,57.32%,Challenger
,,57.32%,TRUE,57.32%,Challenger
,,57.30%,TRUE,57.30%,Challenger
,,57.26%,TRUE,57.26%,Challenger
,,57.15%,TRUE,57.15%,Challenger
,Akuma Esports Red,57.13%,FALSE,#REF!,#REF!
,,57.04%,TRUE,57.04%,Challenger
,GenZ,57.03%,FALSE,#REF!,#REF!
,Chicago Empyre,56.92%,FALSE,#REF!,#REF!
,,56.89%,TRUE,56.89%,Challenger
,,56.77%,TRUE,56.77%,Challenger
,Flux Academy,56.75%,FALSE,#REF!,#REF!
,,56.73%,TRUE,56.73%,Challenger
,,56.65%,TRUE,56.65%,Challenger
,,56.64%,TRUE,56.64%,Challenger
,,56.62%,TRUE,56.62%,Challenger
,Team Kraken,56.62%,FALSE,#REF!,#REF!
,,56.55%,TRUE,56.55%,Challenger
,Vanguard Gaming,56.52%,FALSE,#REF!,#REF!
,Hyperactive,56.51%,FALSE,#REF!,#REF!
,,56.47%,TRUE,56.47%,Challenger
,,56.46%,TRUE,56.46%,Challenger
,Gengar Gang,56.44%,FALSE,#REF!,#REF!
,,56.40%,TRUE,56.40%,Challenger
,,56.38%,TRUE,56.38%,Challenger
,,56.30%,TRUE,56.30%,Challenger
,,56.23%,TRUE,56.23%,Challenger
,,56.16%,TRUE,56.16%,Challenger
,,56.15%,TRUE,56.15%,Challenger
,,56.14%,TRUE,56.14%,Challenger
,,56.06%,TRUE,56.06%,Challenger
,,56.05%,TRUE,56.05%,Challenger
,,56.05%,TRUE,56.05%,Challenger
,NIX,55.96%,FALSE,#REF!,#REF!
,,55.94%,TRUE,55.94%,Challenger
,,55.94%,TRUE,55.94%,Challenger
,,55.90%,TRUE,55.90%,Challenger
,CRWNsports,55.83%,FALSE,#REF!,#REF!
,,55.82%,TRUE,55.82%,Challenger
,Final Black,55.81%,FALSE,#REF!,#REF!
,,55.72%,TRUE,55.72%,Challenger
,,55.70%,TRUE,55.70%,Challenger
,,55.68%,TRUE,55.68%,Challenger
,,55.68%,TRUE,55.68%,Challenger
,,55.67%,TRUE,55.67%,Challenger
,,55.66%,TRUE,55.66%,Challenger
,Berzerkers,55.66%,FALSE,#REF!,#REF!
,MCT Esports,55.64%,FALSE,#REF!,#REF!
,,55.59%,TRUE,55.59%,Challenger
,DONOOBS,55.55%,FALSE,#REF!,#REF!
,,55.54%,TRUE,55.54%,Challenger
,,55.54%,TRUE,55.54%,Challenger
,,55.51%,TRUE,55.51%,Challenger
,,55.48%,TRUE,55.48%,Challenger
,,55.48%,TRUE,55.48%,Challenger
,,55.47%,TRUE,55.47%,Challenger
,,55.45%,TRUE,55.45%,Challenger
,,55.41%,TRUE,55.41%,Challenger
,,55.40%,TRUE,55.40%,Challenger
,,55.39%,TRUE,55.39%,Challenger
,,55.38%,TRUE,55.38%,Challenger
,OPERATION STRIX,55.36%,FALSE,#REF!,#REF!
,,55.36%,TRUE,55.36%,Challenger
,Moonshot,55.31%,FALSE,#REF!,#REF!
,Bearify,55.26%,FALSE,#REF!,#REF!
,,55.19%,TRUE,55.19%,Challenger
,Raw Dogs,55.18%,FALSE,#REF!,#REF!
,Godset,55.16%,FALSE,#REF!,#REF!
,,55.14%,TRUE,55.14%,Challenger
,,55.13%,TRUE,55.13%,Challenger
,,55.12%,TRUE,55.12%,Challenger
,YFP White,55.06%,FALSE,#REF!,#REF!
,,55.04%,TRUE,55.04%,Challenger
,OPERATION STRIX,55.03%,FALSE,#REF!,#REF!
,,55.01%,TRUE,55.01%,Challenger
,,54.98%,TRUE,54.98%,Advanced
,,54.97%,TRUE,54.97%,Advanced
,,54.93%,TRUE,54.93%,Advanced
,,54.91%,TRUE,54.91%,Advanced
,OTF,54.89%,FALSE,#REF!,#REF!
,,54.83%,TRUE,54.83%,Advanced
,,54.83%,TRUE,54.83%,Advanced
,,54.80%,TRUE,54.80%,Advanced
,,54.73%,TRUE,54.73%,Advanced
,,54.69%,TRUE,54.69%,Advanced
,CRWNsports,54.68%,FALSE,#REF!,#REF!
,Unpopular,54.63%,FALSE,#REF!,#REF!
,,54.56%,TRUE,54.56%,Advanced
,Tempest Gaming,54.54%,FALSE,#REF!,#REF!
,,54.51%,TRUE,54.51%,Advanced
,Final Form,54.50%,FALSE,#REF!,#REF!
,,54.49%,TRUE,54.49%,Advanced
,,54.46%,TRUE,54.46%,Advanced
,,54.43%,TRUE,54.43%,Advanced
,BabyJ Esports,54.39%,FALSE,#REF!,#REF!
,Esperion FC,54.38%,FALSE,#REF!,#REF!
,,54.37%,TRUE,54.37%,Advanced
,,54.33%,TRUE,54.33%,Advanced
,Adore Esports,54.33%,FALSE,#REF!,#REF!
,,54.32%,TRUE,54.32%,Advanced
,Chicago Empyre,54.32%,FALSE,#REF!,#REF!
,,54.31%,TRUE,54.31%,Advanced
,Force Up Esports,54.30%,FALSE,#REF!,#REF!
,,54.27%,TRUE,54.27%,Advanced
,BHOP Celestial,54.25%,FALSE,#REF!,#REF!
,New Moon White,54.24%,FALSE,#REF!,#REF!
,,54.21%,TRUE,54.21%,Advanced
,,54.20%,TRUE,54.20%,Advanced
,YFP Black,54.19%,FALSE,#REF!,#REF!
,,54.14%,TRUE,54.14%,Advanced
,,54.12%,TRUE,54.12%,Advanced
,,54.11%,TRUE,54.11%,Advanced
,,54.09%,TRUE,54.09%,Advanced
,Tactical Throwers,54.07%,FALSE,#REF!,#REF!
,Crownless,54.06%,FALSE,#REF!,#REF!
,Final Form,53.99%,FALSE,#REF!,#REF!
,,53.99%,TRUE,53.99%,Advanced
,Realism Esports Black,53.95%,FALSE,#REF!,#REF!
,,53.94%,TRUE,53.94%,Advanced
,Final Black,53.93%,FALSE,#REF!,#REF!
,Overkill,53.89%,FALSE,#REF!,#REF!
,,53.84%,TRUE,53.84%,Advanced
,,53.80%,TRUE,53.80%,Advanced
,Legion,53.78%,FALSE,#REF!,#REF!
,,53.78%,TRUE,53.78%,Advanced
,,53.71%,TRUE,53.71%,Advanced
,,53.70%,TRUE,53.70%,Advanced
,Invicta,53.69%,FALSE,#REF!,#REF!
,,53.64%,TRUE,53.64%,Advanced
,,53.64%,TRUE,53.64%,Advanced
,Hyperactive,53.63%,FALSE,#REF!,#REF!
,,53.63%,TRUE,53.63%,Advanced
,,53.60%,TRUE,53.60%,Advanced
,Moonshot,53.59%,FALSE,#REF!,#REF!
,Invicta,53.54%,FALSE,#REF!,#REF!
,,53.52%,TRUE,53.52%,Advanced
,,53.51%,TRUE,53.51%,Advanced
,Vanguard Gaming,53.50%,FALSE,#REF!,#REF!
,,53.43%,TRUE,53.43%,Advanced
,,53.41%,TRUE,53.41%,Advanced
,,53.40%,TRUE,53.40%,Advanced
,,53.40%,TRUE,53.40%,Advanced
,,53.38%,TRUE,53.38%,Advanced
,YFP White,53.36%,FALSE,#REF!,#REF!
,,53.36%,TRUE,53.36%,Advanced
,Realism Esports Black,53.32%,FALSE,#REF!,#REF!
,,53.30%,TRUE,53.30%,Advanced
,ZMM White,53.30%,FALSE,#REF!,#REF!
,,53.25%,TRUE,53.25%,Advanced
,,53.20%,TRUE,53.20%,Advanced
,,53.19%,TRUE,53.19%,Advanced
,,53.16%,TRUE,53.16%,Advanced
,YFP Black,53.08%,FALSE,#REF!,#REF!
,,53.07%,TRUE,53.07%,Advanced
,,53.07%,TRUE,53.07%,Advanced
,SHIFT X,53.06%,FALSE,#REF!,#REF!
,,53.05%,TRUE,53.05%,Advanced
,,53.05%,TRUE,53.05%,Advanced
,,53.03%,TRUE,53.03%,Advanced
,Underpaid Talent,53.02%,FALSE,#REF!,#REF!
,,53.02%,TRUE,53.02%,Advanced
,I miss her,52.99%,FALSE,#REF!,#REF!
,,52.96%,TRUE,52.96%,Advanced
,OTF,52.96%,FALSE,#REF!,#REF!
,,52.87%,TRUE,52.87%,Advanced
,,52.84%,TRUE,52.84%,Advanced
,HOLY SMOKES,52.82%,FALSE,#REF!,#REF!
,Astéri 7,52.79%,FALSE,#REF!,#REF!
,Evolution Gaming,52.77%,FALSE,#REF!,#REF!
,,52.76%,TRUE,52.76%,Advanced
,,52.70%,TRUE,52.70%,Advanced
,,52.69%,TRUE,52.69%,Advanced
,,52.67%,TRUE,52.67%,Advanced
,,52.67%,TRUE,52.67%,Advanced
,Noxious Green,52.66%,FALSE,#REF!,#REF!
,,52.65%,TRUE,52.65%,Advanced
,,52.65%,TRUE,52.65%,Advanced
,,52.57%,TRUE,52.57%,Advanced
,,52.57%,TRUE,52.57%,Advanced
,,52.56%,TRUE,52.56%,Advanced
,Royalty Forgotten,52.56%,FALSE,#REF!,#REF!
,,52.47%,TRUE,52.47%,Advanced
,,52.47%,TRUE,52.47%,Advanced
,,52.46%,TRUE,52.46%,Advanced
,Olympus Gaming,52.43%,FALSE,#REF!,#REF!
,,52.43%,TRUE,52.43%,Advanced
,,52.42%,TRUE,52.42%,Advanced
,REVIVAL,52.42%,FALSE,#REF!,#REF!
,,52.38%,TRUE,52.38%,Advanced
,,52.37%,TRUE,52.37%,Advanced
,,52.34%,TRUE,52.34%,Advanced
,,52.31%,TRUE,52.31%,Advanced
,Spaghetti,52.31%,FALSE,#REF!,#REF!
,,52.31%,TRUE,52.31%,Advanced
,Hamboigas,52.30%,FALSE,#REF!,#REF!
,143 Esports,52.29%,FALSE,#REF!,#REF!
,OTF,52.27%,FALSE,#REF!,#REF!
,,52.26%,TRUE,52.26%,Advanced
,,52.25%,TRUE,52.25%,Advanced
,,52.21%,TRUE,52.21%,Advanced
,,52.19%,TRUE,52.19%,Advanced
,,52.14%,TRUE,52.14%,Advanced
,,52.13%,TRUE,52.13%,Advanced
,,52.12%,TRUE,52.12%,Advanced
,,52.08%,TRUE,52.08%,Advanced
,,52.07%,TRUE,52.07%,Advanced
,,52.01%,TRUE,52.01%,Advanced
,Overkill,51.95%,FALSE,#REF!,#REF!
,,51.94%,TRUE,51.94%,Advanced
,,51.93%,TRUE,51.93%,Advanced
,,51.91%,TRUE,51.91%,Advanced
,,51.90%,TRUE,51.90%,Advanced
,Overkill,51.88%,FALSE,#REF!,#REF!
,HorizonGG,51.85%,FALSE,#REF!,#REF!
,,51.83%,TRUE,51.83%,Advanced
,UC San Diego,35.74%,FALSE,#REF!,#REF!
,,51.79%,TRUE,51.79%,Advanced
,,51.73%,TRUE,51.73%,Advanced
,Ugly Hamsters,51.73%,FALSE,#REF!,#REF!
,,51.72%,TRUE,51.72%,Advanced
,,51.72%,TRUE,51.72%,Advanced
,,51.69%,TRUE,51.69%,Advanced
,,51.65%,TRUE,51.65%,Advanced
,,51.65%,TRUE,51.65%,Advanced
,,51.64%,TRUE,51.64%,Advanced
,,51.64%,TRUE,51.64%,Advanced
,,51.59%,TRUE,51.59%,Advanced
,,51.58%,TRUE,51.58%,Advanced
,,51.57%,TRUE,51.57%,Advanced
,,51.56%,TRUE,51.56%,Advanced
,,51.52%,TRUE,51.52%,Advanced
,,51.51%,TRUE,51.51%,Advanced
,,51.50%,TRUE,51.50%,Advanced
,NIX,51.47%,FALSE,#REF!,#REF!
,YFP White,51.43%,FALSE,#REF!,#REF!
,,51.40%,TRUE,51.40%,Advanced
,,51.34%,TRUE,51.34%,Advanced
,,51.33%,TRUE,51.33%,Advanced
